,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fiftys,0,fours,six
0,SR Tendulkar (IND),1992-2011,45,44,4,2278,152,56.95,2560,88.98,6,15,2,241,27
1,RT Ponting (AUS),1996-2011,46,42,4,1743,140*,45.86,2180,79.95,5,6,1,145,31
2,KC Sangakkara (SL),2003-2015,37,35,8,1532,124,56.74,1770,86.55,5,7,1,147,14
3,BC Lara (WI),1992-2007,34,33,4,1225,116,42.24,1420,86.26,2,7,1,131,17
4,AB de Villiers (SA),2007-2015,23,22,3,1207,162*,63.52,1029,117.29,4,6,4,121,37
5,CH Gayle (WI),2003-2019,35,34,1,1186,215,35.93,1310,90.53,2,6,2,116,49
6,ST Jayasuriya (SL),1992-2007,38,37,3,1165,120,34.26,1285,90.66,3,6,-,120,27
7,JH Kallis (SA),1996-2011,36,32,7,1148,128*,45.92,1543,74.4,1,9,2,86,13
8,Shakib Al Hasan (BAN),2007-2019,29,29,4,1146,124*,45.84,1393,82.26,2,10,1,107,8
9,TM Dilshan (SL),2007-2015,27,25,4,1112,161*,52.95,1196,92.97,4,4,2,122,9
10,DPMD Jayawardene (SL),1999-2015,40,34,3,1100,115*,35.48,1280,85.93,4,5,3,99,12
11,AC Gilchrist (AUS),1999-2007,31,31,1,1085,149,36.16,1107,98.01,1,8,1,141,19
12,Javed Miandad (PAK),1975-1996,33,30,5,1083,103,43.32,1592,68.02,1,8,2,72,3
13,SP Fleming (NZ),1996-2007,33,33,3,1075,134*,35.83,1398,76.89,2,5,2,134,11
14,HH Gibbs (SA),1999-2007,25,23,4,1067,143,56.15,1221,87.38,2,8,1,106,28
15,PA de Silva (SL),1987-2003,35,32,3,1064,145,36.68,1229,86.57,2,6,2,107,15
16,V Kohli (IND),2011-2019,26,26,4,1030,107,46.81,1188,86.7,2,6,-,91,5
17,IVA Richards (WI),1975-1987,23,21,5,1013,181,63.31,1191,85.05,3,5,-,84+,22
18,SC Ganguly (IND),1999-2007,21,21,3,1006,183,55.88,1298,77.5,4,3,1,79,25
19,ME Waugh (AUS),1992-1999,22,22,3,1004,130,52.84,1199,83.73,4,4,2,87,9
20,LRPL Taylor (NZ),2007-2019,33,30,3,1002,131*,37.11,1354,74.0,1,6,2,76,17
21,MJ Guptill (NZ),2011-2019,27,27,4,995,237*,43.26,1126,88.36,2,4,2,108,24
22,DA Warner (AUS),2015-2019,18,18,2,992,178,62.0,1011,98.12,4,3,-,104,17
23,ML Hayden (AUS),2003-2007,22,21,2,987,158,51.94,1062,92.93,3,2,-,106,23
24,RG Sharma (IND),2015-2019,17,17,2,978,140,65.2,1019,95.97,6,3,1,100,23
25,SR Waugh (AUS),1987-1999,33,30,10,978,120*,48.9,1207,81.02,1,6,-,73,13
26,S Chanderpaul (WI),1996-2011,31,28,4,970,102*,40.41,1561,62.13,1,7,-,82,13
27,A Ranatunga (SL),1983-1999,30,29,8,969,88*,46.14,1197,80.95,-,7,3,99,7
28,F du Plessis (SA),2011-2019,23,21,5,926,109,57.87,1070,86.54,2,7,-,74,11
29,Saeed Anwar (PAK),1996-2003,21,21,4,915,113*,53.82,1157,79.08,3,3,-,90,6
30,KS Williamson (NZ),2011-2019,23,22,6,911,148,56.93,1163,78.33,2,3,-,86,6
31,SB Styris (NZ),2003-2011,26,22,5,909,141,53.47,1026,88.59,2,6,1,69,17
32,GA Gooch (ENG),1979-1992,21,21,1,897,115,44.85,1418,63.25,1,8,1,80,4
33,MJ Clarke (AUS),2007-2015,25,21,7,888,93*,63.42,943,94.16,-,8,-,85,11
34,MD Crowe (NZ),1983-1992,21,21,5,880,100*,55.0,1053,83.57,1,8,1,82,7
35,R Dravid (IND),1999-2007,22,21,7,860,145,61.42,1147,74.97,2,6,-,76,3
36,DL Haynes (WI),1979-1992,25,25,2,854,105,37.13,1485,57.5,1,3,-,67+,4
37,V Sehwag (IND),2003-2011,22,22,0,843,175,38.31,794,106.17,2,3,1,108,18
38,HM Amla (SA),2011-2019,22,22,2,842,159,42.1,1012,83.2,2,5,-,76,6
39,SPD Smith (AUS),2011-2019,24,20,2,834,105,46.33,931,89.58,1,8,-,74,7
40,M Azharuddin (IND),1987-1999,30,25,4,826,93,39.33,1066,77.48,-,8,2,69,5
41,DC Boon (AUS),1987-1992,16,16,1,815,100,54.33,1117,72.96,2,5,-,72,5
42,A Flower (ZIM),1992-2003,30,29,4,815,115*,32.6,1195,68.2,1,4,2,63,3
43,G Kirsten (SA),1996-2003,21,21,4,806,188*,47.41,1068,75.46,1,5,2,79,7
44,AJ Finch (AUS),2015-2019,18,18,0,787,153,43.72,801,98.25,3,4,2,73,24
45,MS Dhoni (IND),2007-2019,29,25,7,780,91*,43.33,867,89.96,-,5,2,59,15
46,SO Tikolo (KENYA),1996-2011,28,27,1,768,96,29.53,1128,68.08,-,8,1,78,10
47,JE Root (ENG),2015-2019,17,16,2,758,121,54.14,861,88.03,3,3,-,67,4
48,GC Smith (SA),2003-2011,20,20,1,747,91,39.31,865,86.35,-,6,-,84,6
49,BB McCullum (NZ),2003-2015,34,27,5,742,101,33.72,614,120.84,1,6,2,77,29
50,RR Sarwan (WI),2003-2011,21,20,4,739,92,46.18,974,75.87,-,3,-,71,10
51,Yuvraj Singh (IND),2003-2011,23,21,7,738,113,52.71,817,90.33,1,7,2,68,13
52,IR Bell (ENG),2007-2015,21,21,1,718,81,35.9,995,72.16,-,6,1,62,2
53,Tamim Iqbal (BAN),2007-2019,29,29,0,718,95,24.75,982,73.11,-,4,3,83,4
54,Inzamam-ul-Haq (PAK),1992-2007,35,33,3,717,81,23.9,961,74.6,-,4,4,54,7
55,Ramiz Raja (PAK),1987-1996,16,16,3,700,119*,53.84,1092,64.1,3,2,-,50,0
56,WU Tharanga (SL),2007-2015,21,21,2,697,133,36.68,923,75.51,2,4,1,79,4
57,BRM Taylor (ZIM),2007-2015,15,15,0,690,138,46.0,778,88.68,2,3,1,68,14
58,EJG Morgan (ENG/IRE),2007-2019,29,27,1,672,148,25.84,792,84.84,1,3,4,56,26
59,N Kapil Dev (IND),1979-1992,26,24,6,669,175*,37.16,581,115.14,1,1,-,54+,14
60,Imran Khan (PAK),1975-1992,28,24,5,666,102*,35.05,1014,65.68,1,4,2,55,8
61,AJ Lamb (ENG),1983-1992,19,17,4,656,102,50.46,780,84.1,1,3,-,52,8
62,SR Watson (AUS),2007-2015,22,19,7,643,94,53.58,595,108.06,-,6,1,67,17
63,RB Richardson (WI),1987-1996,20,20,3,639,110,37.58,1016,62.89,1,4,1,52,6
64,GA Hick (ENG),1992-1999,20,19,4,635,104*,42.33,858,74.0,1,6,2,53,6
65,WTS Porterfield (IRE),2007-2015,21,21,0,627,107,29.85,1058,59.26,1,4,3,50,4
66,NJ O'Brien (IRE),2007-2015,21,21,2,620,79*,32.63,827,74.96,-,5,1,57,6
67,Mahmudullah (BAN),2011-2019,17,15,3,616,128*,51.33,755,81.58,2,2,-,46,11
68,GM Turner (NZ),1975-1983,14,14,4,612,171*,61.2,956,64.01,2,2,-,61+,2
69,AJ Stewart (ENG),1992-2003,25,22,1,606,88,28.85,985,61.52,-,4,2,58,2
70,Misbah-ul-Haq (PAK),2011-2015,15,13,1,598,83*,49.83,802,74.56,-,7,1,38,10
71,Aamer Sohail (PAK),1992-1996,16,16,0,598,114,37.37,847,70.6,2,4,1,67,1
72,Zaheer Abbas (PAK),1975-1983,14,14,2,597,103*,49.75,762,78.34,1,4,2,55,4
73,RS Mahanama (SL),1987-1999,25,21,3,596,89,33.11,1054,56.54,-,5,1,54,1
74,CG Greenidge (WI),1975-1983,15,15,2,591,106*,45.46,999,59.15,2,4,-,44+,5
75,Saleem Malik (PAK),1987-1999,27,23,5,591,100,32.83,715,82.65,1,4,2,52,0
76,DM Jones (AUS),1987-1992,16,16,2,590,90,42.14,811,72.74,-,5,-,27,12
77,GR Marsh (AUS),1987-1992,13,13,1,579,126*,48.25,987,58.66,2,2,-,43,5
78,KP Pietersen (ENG),2007-2011,13,13,1,575,104,47.91,684,84.06,2,4,-,53,7
79,EC Joyce (ENG/IRE),2007-2015,17,17,0,574,112,33.76,735,78.09,1,4,2,55,7
80,AC Hudson (SA),1992-1996,12,12,0,571,161,47.58,738,77.37,1,4,-,64,4
81,DL Houghton (ZIM),1983-1992,20,19,0,567,142,29.84,900,63.0,1,4,3,47,8
82,CL Cairns (NZ),1992-2003,28,24,7,565,60,33.23,684,82.6,-,3,1,41,16
83,SM Gavaskar (IND),1975-1987,19,19,3,561,103*,35.06,978,57.36,1,4,1,60+,4
84,S Dhawan (IND),2015-2019,10,10,0,537,137,53.7,570,94.21,3,1,-,65,9
85,MG Bevan (AUS),1996-2003,26,18,6,537,74*,44.75,834,64.38,-,5,1,35,5
86,AD Mathews (SL),2011-2019,22,17,3,533,113,38.07,621,85.82,1,2,3,41,12
87,JM Bairstow (ENG),2019-2019,11,11,0,532,111,48.36,573,92.84,2,2,2,67,11
88,A Jadeja (IND),1992-1999,21,18,3,522,100*,34.8,727,71.8,1,2,1,39,9
89,MS Atapattu (SL),1999-2003,15,15,3,521,124,43.41,657,79.29,2,3,1,62,0
90,K Srikkanth (IND),1983-1992,23,23,1,521,75,23.68,762,68.37,0,2,4,62+,4
91,Ijaz Ahmed (PAK),1987-1999,29,26,4,516,70,23.45,717,71.96,0,4,5,40,5
92,A Symonds (AUS),2003-2007,18,13,8,515,143*,103.0,552,93.29,1,3,1,51,10
93,GW Flower (ZIM),1996-2003,21,20,2,512,78*,28.44,895,57.2,0,1,0,44+,2
94,CD McMillan (NZ),1999-2007,25,24,2,506,75,23.0,719,70.37,0,2,1,43,12
95,GJ Maxwell (AUS),2015-2019,18,16,3,501,102,38.53,296,169.25,1,2,1,54,21
96,RD Shah (KENYA),1999-2007,17,17,0,500,71,29.41,820,60.97,0,4,1,60,2
97,KJ O'Brien (IRE),2007-2015,20,20,2,499,113,27.72,552,90.39,1,1,1,48,17
98,RG Twose (NZ),1996-1999,15,15,5,493,92,49.3,663,74.35,0,4,1,41,4
99,JG Wright (NZ),1979-1992,18,18,0,493,69,27.38,862,57.19,0,3,2,49+,2
