,Unnamed: 0,Team,Span,Mat,Won,Lost,Tied,NR,W/L,%W,%L,%D,FinalAppearances,Winners,Runners
0,0,Australia,1975-2019,94,69,23,1,1,3.0,73.4,24.46,0.0,7.0,5.0,2.0
2,2,India,1975-2019,84,53,29,1,1,1.827,63.09,34.52,0.0,3.0,2.0,1.0
5,5,West Indies,1975-2019,80,43,35,0,2,1.228,53.75,43.75,0.0,3.0,2.0,1.0
3,3,England,1975-2019,83,48,32,2,1,1.5,57.83,38.55,0.0,4.0,1.0,3.0
7,7,Sri Lanka,1975-2019,80,38,39,1,2,0.974,47.5,48.75,0.0,3.0,1.0,2.0
4,4,Pakistan,1975-2019,79,45,32,0,2,1.406,56.96,40.5,0.0,2.0,1.0,1.0
1,1,New Zealand,1975-2019,89,54,33,1,1,1.636,60.67,37.07,0.0,2.0,0.0,2.0
6,6,South Africa,1992-2019,64,38,23,2,1,1.652,59.37,35.93,0.0,0.0,0.0,0.0
8,8,Bangladesh,1999-2019,40,14,25,0,1,0.56,35.0,62.5,0.0,0.0,0.0,0.0
9,9,Zimbabwe,1983-2015,57,11,42,1,3,0.261,19.29,73.68,0.0,0.0,0.0,0.0
